,department,education,gender,no_of_trainings,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
5217,Sales & Marketing,Bachelor's,f,0.0,1.0,0.4,0.0,0.0,-0.44
5218,Sales & Marketing,Master's & above,m,1.0,0.0,0.8,0.0,0.0,-0.28
5219,Sales & Marketing,Bachelor's,f,0.0,0.0,1.2,0.0,0.0,-0.68
5220,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.2,0.0,0.0,-0.52
5221,Technology,Master's & above,m,0.0,0.0,1.0,1.0,0.0,0.56
5222,Technology,Bachelor's,f,0.0,0.0,0.0,0.0,0.0,0.76
5223,Sales & Marketing,Master's & above,f,0.0,1.0,0.6,1.0,0.0,-0.64
5224,Technology,Master's & above,m,0.0,1.0,2.8,0.0,0.0,0.64
5225,Sales & Marketing,Master's & above,m,0.0,-2.0,0.4,0.0,0.0,-0.4
5226,Operations,Master's & above,f,0.0,0.0,0.0,1.0,0.0,0.04
5227,Technology,Master's & above,m,0.0,-2.0,-0.2,0.0,0.0,0.84
5228,Sales & Marketing,Bachelor's,f,0.0,-2.0,-0.6,0.0,0.0,-0.48
5229,Operations,Bachelor's,f,0.0,1.0,0.2,0.0,0.0,-0.24
5230,Operations,Bachelor's,f,0.0,1.0,-0.2,1.0,0.0,0.0
5231,Sales & Marketing,Master's & above,f,1.0,-1.0,2.6,0.0,0.0,-0.6
5232,Sales & Marketing,Bachelor's,m,0.0,0.0,0.0,0.0,0.0,-0.48
5233,Operations,Master's & above,f,0.0,2.0,0.4,1.0,0.0,0.04
5234,Operations,Master's & above,f,0.0,2.0,0.2,0.0,0.0,0.08
5235,Sales & Marketing,Bachelor's,m,0.0,1.0,0.4,1.0,0.0,-0.16
5236,HR,Bachelor's,m,0.0,0.0,-0.6,1.0,0.0,-0.48
5237,Sales & Marketing,Bachelor's,m,0.0,2.0,-0.2,1.0,0.0,-0.64
5238,HR,Bachelor's,m,1.0,0.0,-0.4,0.0,0.0,-0.32
5239,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.2,1.0,0.0,-0.44
5240,Technology,Bachelor's,f,0.0,1.0,0.0,0.0,0.0,0.88
5241,Technology,Master's & above,m,0.0,-2.0,-0.6,0.0,0.0,0.92
5242,HR,Bachelor's,m,0.0,2.0,-0.6,1.0,0.0,-0.24
5243,Finance,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,-0.12
5244,Operations,Bachelor's,f,0.0,0.0,0.0,1.0,0.0,-0.04
5245,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.32
5246,Sales & Marketing,Master's & above,m,1.0,-1.0,0.0,0.0,0.0,-0.48
5247,Procurement,Master's & above,m,0.0,2.0,2.8,1.0,0.0,0.44
5248,Sales & Marketing,Bachelor's,m,0.0,-2.0,0.0,0.0,0.0,-0.48
5249,Operations,Bachelor's,f,3.0,1.0,0.4,1.0,0.0,-0.16
5250,Technology,Master's & above,m,0.0,0.0,2.2,1.0,0.0,0.72
5251,Sales & Marketing,Master's & above,m,0.0,-1.0,1.0,0.0,0.0,-0.32
5252,Sales & Marketing,Master's & above,m,0.0,1.0,0.2,0.0,0.0,-0.52
5253,Technology,Master's & above,m,0.0,1.0,1.0,0.0,0.0,0.76
5254,Analytics,Bachelor's,m,0.0,0.0,-0.6,1.0,0.0,0.96
5255,Operations,Master's & above,m,1.0,1.0,-0.2,0.0,0.0,0.04
5256,Sales & Marketing,Bachelor's,f,0.0,1.0,-0.4,0.0,0.0,-0.44
5257,Technology,Master's & above,m,0.0,0.0,-0.2,0.0,0.0,0.76
5258,Operations,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,-0.08
5259,Operations,Bachelor's,f,0.0,-2.0,-0.6,0.0,0.0,-0.08
5260,Operations,Bachelor's,m,0.0,1.0,0.0,1.0,0.0,-0.08
5261,Sales & Marketing,Bachelor's,f,0.0,0.0,0.4,0.0,0.0,-0.52
5262,Sales & Marketing,Bachelor's,m,0.0,2.0,-0.6,1.0,0.0,-0.76
5263,Technology,Bachelor's,m,0.0,0.0,-0.6,1.0,0.0,0.64
5264,Sales & Marketing,Bachelor's,m,0.0,2.0,0.0,0.0,0.0,-0.44
5265,Procurement,Master's & above,f,0.0,2.0,0.0,1.0,0.0,0.2
5266,Operations,Master's & above,m,0.0,1.0,1.0,0.0,0.0,-0.12
5267,HR,Bachelor's,m,0.0,2.0,-0.2,0.0,0.0,-0.52
5268,Technology,Master's & above,m,0.0,0.0,0.4,0.0,0.0,0.92
5269,Sales & Marketing,Bachelor's,f,0.0,-1.0,1.8,0.0,0.0,-0.24
5270,HR,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.36
5271,Sales & Marketing,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,-0.36
5272,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.6,0.0,0.0,-0.36
5273,Procurement,Master's & above,m,1.0,2.0,0.6,1.0,0.0,0.36
5274,Sales & Marketing,Master's & above,m,0.0,0.0,0.2,0.0,0.0,-0.32
5275,Technology,Bachelor's,m,0.0,1.0,-0.8,0.0,0.0,1.2
5276,Procurement,Below Secondary,f,0.0,-1.0,-0.6,0.0,0.0,0.16
5277,Finance,Master's & above,f,0.0,1.0,0.2,0.0,0.0,0.08
5278,Operations,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.16
5279,Operations,Bachelor's,f,0.0,-2.0,-0.4,0.0,0.0,0.04
5280,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,-0.28
5281,Analytics,Bachelor's,f,0.0,-2.0,0.0,0.0,0.0,1.04
5282,Technology,Master's & above,f,0.0,2.0,-0.4,1.0,1.0,1.2
5283,Procurement,Bachelor's,m,0.0,2.0,-0.4,1.0,0.0,0.48
5284,Sales & Marketing,Bachelor's,m,0.0,-1.0,1.2,0.0,0.0,-0.48
5285,Procurement,Bachelor's,f,0.0,1.0,-0.6,1.0,0.0,0.32
5286,Sales & Marketing,Bachelor's,m,0.0,-2.0,2.0,0.0,0.0,-0.48
5287,Operations,Bachelor's,m,0.0,1.0,0.4,0.0,0.0,0.04
5288,Procurement,Bachelor's,f,0.0,-2.0,-0.6,0.0,0.0,0.52
5289,Technology,Bachelor's,f,0.0,-1.0,-0.4,0.0,0.0,0.76
5290,Operations,Bachelor's,f,0.0,1.0,-0.2,0.0,0.0,-0.08
5291,Finance,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,-0.16
5292,Operations,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,-0.12
5293,Analytics,Bachelor's,m,0.0,0.0,-0.4,1.0,0.0,1.08
5294,Procurement,Bachelor's,f,3.0,0.0,-0.2,0.0,0.0,0.28
5295,Legal,Bachelor's,m,1.0,2.0,-0.4,1.0,0.0,-0.04
5296,Procurement,Bachelor's,m,0.0,-2.0,0.0,1.0,0.0,0.4
5297,Sales & Marketing,Bachelor's,m,0.0,0.0,0.6,0.0,0.0,-0.64
5298,Technology,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,0.92
5299,Technology,Master's & above,f,0.0,-2.0,1.0,0.0,0.0,0.84
5300,Technology,Bachelor's,f,0.0,0.0,0.8,0.0,0.0,0.56
5301,Operations,Master's & above,f,0.0,2.0,2.0,0.0,0.0,0.16
5302,Procurement,Bachelor's,m,1.0,1.0,1.0,1.0,0.0,0.36
5303,Technology,Bachelor's,f,0.0,1.0,-0.8,1.0,0.0,0.72
5304,Analytics,Bachelor's,m,1.0,0.0,-0.2,0.0,0.0,0.84
5305,R&D,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,0.96
5306,Analytics,Master's & above,m,1.0,-2.0,0.4,0.0,0.0,1.12
5307,Analytics,Bachelor's,m,1.0,2.0,-0.6,1.0,0.0,1.04
5308,Sales & Marketing,Master's & above,m,0.0,2.0,-0.6,1.0,0.0,-0.36
5309,Operations,Bachelor's,f,0.0,2.0,-0.4,1.0,0.0,-0.04
5310,Sales & Marketing,Master's & above,m,0.0,0.0,1.2,1.0,1.0,1.32
5311,HR,Bachelor's,f,0.0,0.0,-0.4,0.0,0.0,-0.44
5312,Operations,Bachelor's,m,0.0,1.0,-0.4,0.0,0.0,-0.12
5313,Analytics,Master's & above,m,1.0,-1.0,-0.6,0.0,0.0,0.88
5314,Sales & Marketing,Bachelor's,m,0.0,2.0,0.2,0.0,0.0,-0.6
5315,Sales & Marketing,Bachelor's,m,1.0,1.0,-0.2,0.0,0.0,-0.48
5316,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.2,1.0,0.0,-0.16
5317,Legal,Bachelor's,m,0.0,0.0,0.2,0.0,0.0,-0.24
5318,Operations,Bachelor's,m,0.0,-1.0,0.0,1.0,0.0,-0.12
5319,Operations,Master's & above,m,0.0,2.0,1.8,1.0,0.0,0.28
5320,Operations,Bachelor's,m,0.0,2.0,-0.4,1.0,0.0,0.16
5321,Sales & Marketing,Master's & above,m,0.0,-1.0,1.8,0.0,0.0,-0.44
5322,R&D,Master's & above,m,0.0,0.0,-0.2,0.0,0.0,1.0
5323,Operations,Bachelor's,m,0.0,-2.0,0.0,0.0,0.0,-0.04
5324,Technology,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,0.8
5325,Operations,Bachelor's,m,0.0,2.0,-0.6,1.0,0.0,-0.04
5326,Technology,Bachelor's,f,1.0,-1.0,-0.2,1.0,0.0,0.64
5327,Technology,Bachelor's,m,0.0,1.0,-0.6,0.0,0.0,0.88
5328,Procurement,Master's & above,f,0.0,0.0,0.4,0.0,0.0,0.28
5329,Procurement,Master's & above,f,0.0,2.0,0.2,0.0,1.0,1.36
5330,Finance,Below Secondary,f,1.0,0.0,-0.8,0.0,0.0,0.0
5331,Technology,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,0.68
5332,Sales & Marketing,Bachelor's,m,1.0,0.0,1.6,0.0,0.0,-0.52
5333,Procurement,Master's & above,f,0.0,2.0,-0.2,1.0,1.0,0.48
5334,Sales & Marketing,Bachelor's,m,0.0,-2.0,0.6,0.0,0.0,-0.28
5335,HR,Bachelor's,f,0.0,2.0,-0.6,1.0,1.0,-0.24
5336,Operations,Bachelor's,m,0.0,0.0,0.0,0.0,0.0,0.16
5337,Procurement,Bachelor's,f,0.0,0.0,0.0,0.0,0.0,0.2
5338,Operations,Master's & above,m,0.0,1.0,0.6,1.0,0.0,0.0
5339,HR,Bachelor's,m,0.0,0.0,2.2,1.0,0.0,-0.36
5340,Finance,Below Secondary,m,0.0,-2.0,-0.6,0.0,0.0,0.04
5341,HR,Master's & above,f,0.0,-1.0,0.8,0.0,0.0,-0.36
5342,Procurement,Master's & above,f,0.0,-1.0,-0.4,0.0,0.0,0.6
5343,Operations,Master's & above,f,0.0,0.0,0.8,1.0,0.0,0.12
5344,R&D,Bachelor's,m,1.0,2.0,-0.2,1.0,0.0,0.96
5345,Sales & Marketing,Bachelor's,m,0.0,2.0,1.2,0.0,0.0,-0.48
5346,Sales & Marketing,Master's & above,m,1.0,0.0,-0.8,1.0,0.0,-0.48
5347,Operations,Master's & above,m,0.0,-1.0,0.2,0.0,0.0,-0.12
5348,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.36
5349,Operations,Bachelor's,m,0.0,2.0,0.0,0.0,0.0,0.0
5350,Operations,Master's & above,m,0.0,0.0,2.2,0.0,0.0,0.0
5351,Technology,Bachelor's,m,0.0,0.0,2.0,0.0,0.0,1.04
5352,Sales & Marketing,Bachelor's,m,0.0,1.0,0.8,0.0,0.0,1.32
5353,Technology,Bachelor's,f,0.0,0.0,-0.4,0.0,0.0,0.92
5354,Analytics,Master's & above,m,1.0,0.0,0.2,1.0,0.0,1.0
5355,Technology,Bachelor's,m,0.0,2.0,-0.2,1.0,0.0,0.96
5356,Finance,Bachelor's,f,0.0,2.0,-0.2,1.0,0.0,0.0
5357,Operations,Bachelor's,f,0.0,0.0,0.4,0.0,0.0,0.04
5358,Technology,Bachelor's,f,1.0,1.0,-0.6,1.0,0.0,0.8
5359,Technology,Bachelor's,m,0.0,0.0,0.0,0.0,0.0,0.64
5360,Procurement,Bachelor's,f,0.0,-2.0,2.8,1.0,0.0,0.32
5361,Technology,Bachelor's,m,0.0,-2.0,-0.4,0.0,0.0,0.68
5362,Sales & Marketing,Bachelor's,m,1.0,0.0,-0.4,0.0,0.0,-0.4
5363,Finance,Bachelor's,m,0.0,2.0,0.2,1.0,0.0,-0.04
5364,Sales & Marketing,Bachelor's,f,0.0,2.0,-0.4,0.0,0.0,-0.36
5365,Sales & Marketing,Bachelor's,m,0.0,-1.0,0.2,0.0,0.0,-0.32
5366,Analytics,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,0.84
5367,Analytics,Bachelor's,m,0.0,0.0,-0.6,1.0,0.0,0.96
5368,Operations,Master's & above,m,1.0,2.0,2.2,1.0,0.0,-0.04
5369,HR,Bachelor's,f,0.0,-1.0,0.4,0.0,0.0,-0.48
5370,Operations,Master's & above,m,0.0,0.0,1.0,1.0,0.0,0.0
5371,Analytics,Bachelor's,m,0.0,0.0,-0.2,1.0,0.0,1.12
5372,Operations,Bachelor's,m,0.0,2.0,-0.2,1.0,0.0,-0.28
5373,Finance,Bachelor's,m,0.0,-2.0,-0.6,0.0,0.0,-0.04
5374,Sales & Marketing,Master's & above,m,0.0,-2.0,-0.2,0.0,0.0,-0.4
5375,Finance,Bachelor's,m,0.0,0.0,-0.4,1.0,0.0,-0.08
5376,Sales & Marketing,Master's & above,m,1.0,0.0,-0.4,0.0,0.0,0.2
5377,Operations,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,0.04
5378,Sales & Marketing,Bachelor's,f,0.0,-1.0,0.2,0.0,0.0,-0.24
5379,Technology,Bachelor's,m,5.0,0.0,0.8,0.0,0.0,0.84
5380,Sales & Marketing,Bachelor's,f,0.0,-1.0,-0.6,0.0,0.0,-0.52
5381,Operations,Master's & above,f,0.0,2.0,0.0,0.0,0.0,-0.2
5382,Technology,Bachelor's,m,0.0,-2.0,0.8,0.0,0.0,0.88
5383,Operations,Master's & above,m,0.0,0.0,-0.2,0.0,0.0,-0.2
5384,Technology,Bachelor's,m,0.0,-2.0,0.6,0.0,0.0,0.84
5385,Analytics,Bachelor's,m,1.0,0.0,0.2,1.0,0.0,0.92
5386,Sales & Marketing,Master's & above,m,0.0,0.0,0.2,0.0,0.0,-0.56
5387,Sales & Marketing,Master's & above,f,0.0,0.0,-0.4,0.0,0.0,-0.44
5388,Sales & Marketing,Bachelor's,m,0.0,2.0,1.6,1.0,0.0,-0.44
5389,Technology,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,0.76
5390,Sales & Marketing,Master's & above,f,0.0,2.0,0.6,0.0,0.0,-0.32
5391,Finance,Master's & above,m,0.0,1.0,0.4,1.0,0.0,-0.04
5392,Sales & Marketing,Master's & above,m,0.0,2.0,-0.2,1.0,0.0,-0.52
5393,Analytics,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,1.0
5394,Operations,Bachelor's,m,0.0,1.0,-0.2,1.0,0.0,0.08
5395,Operations,Bachelor's,m,1.0,2.0,-0.6,1.0,0.0,0.04
5396,Sales & Marketing,Bachelor's,m,0.0,-1.0,1.0,0.0,1.0,-0.36
5397,Analytics,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,0.92
5398,Sales & Marketing,Bachelor's,f,0.0,2.0,0.6,0.0,0.0,-0.44
5399,Procurement,Bachelor's,f,0.0,2.0,0.2,1.0,0.0,0.32
5400,Sales & Marketing,Master's & above,m,2.0,-2.0,0.0,0.0,0.0,-0.32
5401,Operations,Master's & above,m,0.0,2.0,3.2,1.0,0.0,0.12
5402,Sales & Marketing,Bachelor's,m,0.0,1.0,-0.4,0.0,0.0,0.36
5403,Operations,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,0.08
5404,HR,Master's & above,f,0.0,0.0,2.2,0.0,0.0,0.0
5405,HR,Master's & above,m,0.0,0.0,2.6,0.0,0.0,-0.44
5406,Sales & Marketing,Bachelor's,m,0.0,-1.0,-0.2,0.0,0.0,-0.32
5407,Sales & Marketing,Master's & above,f,0.0,0.0,0.8,0.0,0.0,-0.52
5408,Sales & Marketing,Bachelor's,m,1.0,1.0,-0.2,0.0,0.0,-0.44
5409,Operations,Master's & above,f,0.0,0.0,0.4,1.0,0.0,-0.08
5410,Sales & Marketing,Bachelor's,m,2.0,-1.0,-0.4,1.0,0.0,-0.48
5411,Sales & Marketing,Bachelor's,m,1.0,0.0,0.8,0.0,0.0,-0.4
5412,Legal,Bachelor's,f,0.0,0.0,-0.2,0.0,0.0,0.04
5413,Analytics,Bachelor's,m,0.0,-1.0,0.2,1.0,1.0,0.96
5414,Operations,Bachelor's,m,0.0,0.0,0.0,1.0,1.0,0.0
5415,Sales & Marketing,Master's & above,m,0.0,0.0,0.4,1.0,0.0,-0.6
5416,Operations,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,0.04
5417,Operations,Master's & above,m,0.0,2.0,0.2,1.0,0.0,0.12
5418,HR,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.4
5419,Sales & Marketing,Bachelor's,m,0.0,-2.0,2.4,0.0,0.0,-0.52
5420,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.6,1.0,0.0,-0.48
5421,Technology,Master's & above,m,0.0,2.0,1.0,1.0,0.0,0.72
5422,Analytics,Master's & above,m,0.0,0.0,1.0,0.0,0.0,0.88
5423,Procurement,Bachelor's,f,0.0,1.0,0.8,0.0,0.0,0.36
5424,Procurement,Bachelor's,f,0.0,-2.0,0.8,0.0,0.0,0.32
5425,Sales & Marketing,Bachelor's,m,0.0,0.0,0.2,0.0,0.0,-0.52
5426,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.4
5427,HR,Below Secondary,m,0.0,2.0,-0.6,0.0,0.0,-0.4
5428,Operations,Bachelor's,m,0.0,-1.0,0.6,0.0,0.0,-0.16
5429,Operations,Master's & above,m,0.0,2.0,2.0,0.0,0.0,0.36
5430,Operations,Bachelor's,m,0.0,1.0,2.6,0.0,0.0,-0.04
5431,Procurement,Bachelor's,m,0.0,2.0,0.4,0.0,1.0,0.96
5432,Procurement,Bachelor's,f,0.0,0.0,-0.2,1.0,0.0,0.52
5433,Sales & Marketing,Bachelor's,m,0.0,-1.0,0.6,0.0,0.0,-0.52
5434,Operations,Bachelor's,f,1.0,0.0,1.6,0.0,0.0,-0.16
5435,HR,Bachelor's,f,0.0,1.0,0.8,0.0,0.0,-0.32
5436,Sales & Marketing,Master's & above,m,0.0,2.0,-0.4,1.0,0.0,-0.28
5437,Analytics,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,0.96
5438,Procurement,Bachelor's,f,0.0,0.0,-0.4,0.0,0.0,0.56
5439,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,-0.32
5440,Analytics,Bachelor's,m,0.0,-1.0,-0.6,0.0,0.0,1.04
5441,Operations,Master's & above,f,0.0,2.0,0.2,0.0,0.0,-0.08
5442,Technology,Bachelor's,m,1.0,0.0,0.0,1.0,0.0,0.96
5443,Analytics,Master's & above,m,0.0,0.0,0.4,0.0,0.0,0.96
5444,Operations,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,0.0
5445,Operations,Master's & above,m,0.0,0.0,2.6,1.0,0.0,0.12
5446,Technology,Bachelor's,m,1.0,1.0,0.6,0.0,0.0,0.84
5447,Operations,Master's & above,f,0.0,2.0,0.4,1.0,0.0,0.08
5448,R&D,Master's & above,m,0.0,2.0,-0.4,1.0,0.0,1.2
5449,Operations,Bachelor's,m,1.0,-1.0,-0.2,0.0,0.0,-0.12
5450,Analytics,Bachelor's,m,2.0,0.0,-0.6,1.0,0.0,1.2
5451,Technology,Master's & above,f,0.0,2.0,0.0,0.0,0.0,1.4
5452,Sales & Marketing,Bachelor's,m,0.0,2.0,0.0,0.0,0.0,-0.68
5453,Sales & Marketing,Master's & above,m,1.0,1.0,-0.4,0.0,0.0,0.28
5454,Sales & Marketing,Bachelor's,m,0.0,0.0,0.4,1.0,0.0,-0.4
5455,Operations,Bachelor's,m,1.0,2.0,-0.6,0.0,0.0,0.0
5456,Operations,Bachelor's,f,0.0,-2.0,-0.6,0.0,0.0,-0.12
5457,Procurement,Master's & above,f,0.0,-1.0,2.0,1.0,0.0,0.28
5458,Operations,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,0.0
5459,Analytics,Bachelor's,m,0.0,2.0,0.4,1.0,0.0,0.88
5460,Operations,Master's & above,m,2.0,1.0,0.4,0.0,0.0,-0.12
5461,Operations,Bachelor's,m,0.0,2.0,3.8,0.0,0.0,-0.2
5462,Operations,Bachelor's,m,1.0,0.0,-0.4,0.0,0.0,0.0
5463,Analytics,Bachelor's,m,1.0,0.0,-0.2,0.0,0.0,0.8
5464,Sales & Marketing,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,-0.4
5465,Sales & Marketing,Bachelor's,f,0.0,0.0,0.0,0.0,0.0,-0.36
5466,Operations,Bachelor's,m,0.0,1.0,0.2,1.0,0.0,-0.08
5467,Procurement,Bachelor's,m,0.0,2.0,0.4,0.0,0.0,0.24
5468,Sales & Marketing,Bachelor's,m,1.0,2.0,-0.6,1.0,0.0,-0.44
5469,Procurement,Bachelor's,f,1.0,1.0,-0.2,1.0,0.0,0.28
5470,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.2,0.0,1.0,0.08
5471,Technology,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,1.44
5472,Technology,Bachelor's,f,0.0,-1.0,-0.6,0.0,0.0,0.72
5473,Technology,Bachelor's,m,0.0,-1.0,-0.4,0.0,0.0,0.8
5474,Finance,Bachelor's,m,0.0,1.0,0.8,0.0,0.0,0.04
5475,Procurement,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,0.56
5476,Operations,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,0.04
5477,Technology,Master's & above,f,0.0,0.0,2.2,0.0,0.0,0.8
5478,Sales & Marketing,Bachelor's,m,0.0,1.0,0.6,1.0,0.0,-0.48
5479,Analytics,Bachelor's,f,0.0,0.0,-0.8,1.0,0.0,0.88
5480,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.2,0.0,0.0,-0.32
5481,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.48
5482,Sales & Marketing,Master's & above,f,0.0,1.0,3.0,0.0,0.0,-0.2
5483,Sales & Marketing,Bachelor's,m,0.0,2.0,-0.2,0.0,0.0,-0.44
5484,Operations,Bachelor's,m,0.0,-1.0,0.0,0.0,0.0,-0.2
5485,Sales & Marketing,Bachelor's,m,0.0,-1.0,-0.4,0.0,0.0,-0.6
5486,Analytics,Bachelor's,m,0.0,-2.0,1.8,0.0,0.0,0.88
5487,Sales & Marketing,Bachelor's,m,4.0,0.0,0.2,0.0,0.0,-0.56
5488,Sales & Marketing,Bachelor's,m,0.0,2.0,0.2,1.0,0.0,-0.6
5489,Procurement,Master's & above,m,0.0,0.0,-0.2,1.0,0.0,0.16
5490,Sales & Marketing,Master's & above,m,1.0,0.0,0.0,0.0,0.0,-0.36
5491,Sales & Marketing,Master's & above,m,0.0,0.0,0.0,1.0,0.0,-0.36
5492,Finance,Bachelor's,m,0.0,2.0,-0.4,1.0,0.0,0.0
5493,Finance,Master's & above,m,1.0,-2.0,0.4,0.0,0.0,0.24
5494,Analytics,Bachelor's,m,1.0,-1.0,0.4,1.0,0.0,1.0
5495,Procurement,Bachelor's,m,0.0,1.0,-0.4,0.0,0.0,0.48
5496,Operations,Master's & above,m,0.0,1.0,2.6,0.0,1.0,-0.24
5497,Operations,Bachelor's,f,0.0,1.0,0.0,1.0,0.0,0.08
5498,Sales & Marketing,Bachelor's,m,0.0,1.0,0.0,1.0,0.0,-0.44
5499,Operations,Bachelor's,m,0.0,-2.0,0.4,0.0,0.0,0.16
5500,Sales & Marketing,Master's & above,m,1.0,0.0,-0.6,0.0,0.0,-0.56
5501,Technology,Bachelor's,m,1.0,0.0,3.2,0.0,0.0,0.8
5502,Sales & Marketing,Master's & above,m,0.0,1.0,0.2,1.0,0.0,-0.4
5503,Operations,Master's & above,f,0.0,-2.0,0.2,0.0,0.0,-0.16
5504,Procurement,Bachelor's,m,0.0,1.0,1.6,0.0,0.0,0.32
5505,Operations,Bachelor's,f,1.0,0.0,0.8,0.0,0.0,0.12
5506,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.2,1.0,0.0,-0.52
5507,Analytics,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,1.08
5508,Technology,Master's & above,f,0.0,0.0,2.0,0.0,0.0,1.28
5509,Sales & Marketing,Master's & above,m,0.0,2.0,1.2,1.0,0.0,-0.56
5510,Sales & Marketing,Master's & above,f,0.0,1.0,0.4,0.0,0.0,-0.64
5511,Technology,Master's & above,f,3.0,-1.0,0.4,0.0,0.0,0.8
5512,Finance,Master's & above,f,0.0,0.0,0.4,1.0,0.0,0.04
5513,Analytics,Bachelor's,m,0.0,0.0,0.0,0.0,0.0,1.0
5514,Sales & Marketing,Master's & above,m,0.0,1.0,-0.2,1.0,0.0,-0.36
5515,Operations,Bachelor's,m,1.0,1.0,0.2,0.0,0.0,0.0
5516,Procurement,Bachelor's,f,1.0,0.0,-0.4,0.0,0.0,0.36
5517,Analytics,Bachelor's,m,0.0,0.0,0.4,1.0,0.0,1.0
5518,Operations,Master's & above,f,0.0,1.0,0.4,1.0,1.0,0.04
5519,Operations,Bachelor's,f,0.0,0.0,-0.6,0.0,0.0,-0.04
5520,Technology,Bachelor's,f,0.0,-1.0,0.4,0.0,0.0,0.68
5521,Finance,Below Secondary,m,0.0,0.0,-0.4,0.0,0.0,0.0
5522,Operations,Bachelor's,f,0.0,1.0,-0.4,0.0,0.0,-0.08
5523,Operations,Bachelor's,m,0.0,2.0,1.6,0.0,0.0,0.56
5524,HR,Master's & above,m,0.0,0.0,0.2,0.0,1.0,-0.04
5525,Operations,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,0.16
5526,Sales & Marketing,Bachelor's,m,0.0,2.0,0.6,1.0,0.0,-0.32
5527,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.4,0.0,0.0,-0.48
5528,Technology,Bachelor's,m,0.0,-1.0,-0.2,0.0,0.0,0.96
5529,HR,Bachelor's,m,0.0,1.0,1.6,0.0,0.0,-0.44
5530,Sales & Marketing,Bachelor's,m,2.0,0.0,-0.6,0.0,0.0,-0.44
5531,Sales & Marketing,Bachelor's,f,0.0,-1.0,-0.4,0.0,0.0,-0.32
5532,Operations,Bachelor's,f,0.0,2.0,0.4,1.0,0.0,0.08
5533,Operations,Below Secondary,m,1.0,0.0,-0.8,0.0,0.0,-0.04
5534,Technology,Bachelor's,f,2.0,0.0,-0.8,1.0,0.0,0.88
5535,Sales & Marketing,Bachelor's,m,0.0,1.0,-0.8,0.0,0.0,-0.48
5536,Technology,Bachelor's,m,0.0,-1.0,-0.6,0.0,0.0,0.72
5537,Sales & Marketing,Bachelor's,m,1.0,1.0,-0.2,1.0,0.0,-0.56
5538,R&D,Bachelor's,m,0.0,2.0,0.2,1.0,0.0,1.12
5539,Analytics,Master's & above,m,0.0,0.0,0.6,1.0,0.0,0.92
5540,Operations,Bachelor's,m,0.0,0.0,0.0,0.0,0.0,-0.2
5541,Operations,Bachelor's,m,0.0,2.0,0.6,0.0,0.0,-0.16
5542,Procurement,Bachelor's,m,0.0,-1.0,-0.4,0.0,0.0,0.36
5543,Technology,Bachelor's,m,0.0,2.0,1.8,0.0,0.0,0.68
5544,Procurement,Master's & above,m,0.0,2.0,1.0,1.0,0.0,0.28
